day,S,I,R,E_mos,I_mos,totalHumans
427,1996,53,17092,31,30,19141
428,1996,51,17091,29,32,19138
429,1990,56,17091,33,32,19137
430,1982,63,17090,30,31,19135
431,1979,62,17092,31,31,19133
432,1971,69,17087,35,26,19127
433,1967,67,17091,33,23,19125
434,1963,68,17092,34,23,19123
435,1962,69,17089,34,22,19120
436,1960,71,17089,27,21,19120
437,1960,70,17087,29,21,19117
438,1956,72,17086,29,20,19114
439,1955,72,17085,29,20,19112
440,1955,67,17088,28,21,19110
441,1947,73,17088,26,24,19108
442,1946,70,17092,29,25,19108
443,1944,69,17094,28,22,19107
444,1943,68,17095,27,23,19106
445,1941,69,17093,25,21,19103
446,1941,68,17094,28,20,19103
447,1936,72,17094,24,21,19102
448,1935,70,17096,24,18,19101
449,1929,74,17096,25,18,19099
450,1926,70,17102,25,19,19098
451,1919,73,17105,27,20,19097
452,1915,74,17107,30,20,19096
453,1915,73,17103,26,19,19091
454,1910,77,17104,27,18,19091
455,1897,86,17104,31,16,19087
456,1897,81,17108,31,18,19086
457,1887,88,17110,40,18,19085
458,1884,91,17110,42,19,19085
459,1882,88,17110,41,18,19080
460,1882,87,17108,44,20,19077
461,1881,86,17109,42,20,19076
462,1881,84,17111,44,21,19076
463,1877,85,17113,42,22,19075
464,1876,84,17113,44,22,19073
465,1871,84,17117,43,23,19072
466,1871,78,17123,38,22,19072
467,1860,82,17127,39,21,19069
468,1860,78,17128,36,21,19066
469,1858,76,17131,36,23,19065
470,1856,74,17132,32,25,19062
471,1850,75,17134,28,24,19059
472,1849,71,17136,29,23,19056
473,1845,68,17137,24,22,19050
474,1845,65,17140,23,25,19050
475,1843,63,17142,25,25,19048
476,1840,63,17141,23,27,19044
477,1840,60,17144,24,27,19044
478,1840,57,17144,21,27,19041
479,1837,57,17145,23,29,19039
480,1834,59,17145,21,31,19038
481,1834,58,17145,24,26,19037
482,1832,58,17145,23,26,19035
483,1831,57,17147,25,24,19035
484,1830,57,17148,31,19,19035
485,1830,54,17149,28,21,19033
486,1830,53,17147,27,20,19030
487,1830,53,17145,28,18,19028
488,1830,50,17143,25,18,19023
489,1830,46,17144,24,18,19020
490,1830,44,17145,27,18,19019
491,1830,42,17144,24,18,19016
492,1830,40,17145,24,16,19015
493,1830,39,17145,29,13,19014
494,1830,32,17150,32,14,19012
495,1830,27,17153,31,15,19010
496,1830,27,17152,28,15,19009
497,1830,26,17150,26,16,19006
498,1830,25,17147,24,19,19002
499,1829,23,17148,20,21,19000
